video_filename,analysis_mode,event_id,clip_path,predicted_category,predicted_primary_limb,predicted_confidence_score,corrected_category,corrected_strike_type,is_valid_strike,notes,created_at,model_suggested_strike_type,model_prediction_confidence,model_top_3_predictions
Kicking Session.mp4,single_athlete_training,3,data\processed\clips\Kicking Session\event_003_kick_candidate_left_ankle_t15p80.mp4,kick_candidate,left_ankle,0.9682,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,4,data\processed\clips\Kicking Session\event_004_kick_candidate_left_ankle_t19p20.mp4,kick_candidate,left_ankle,0.9607,kick,axe_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,7,data\processed\clips\Kicking Session\event_007_kick_candidate_left_ankle_t21p40.mp4,kick_candidate,left_ankle,0.8199,footwork,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,8,data\processed\clips\Kicking Session\event_008_kick_candidate_left_ankle_t27p20.mp4,kick_candidate,left_ankle,0.9322,kick,hopstep_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,9,data\processed\clips\Kicking Session\event_009_kick_candidate_left_ankle_t32p20.mp4,kick_candidate,left_ankle,0.9329,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,12,data\processed\clips\Kicking Session\event_012_kick_candidate_left_ankle_t41p20.mp4,kick_candidate,left_ankle,0.7615,footwork,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,15,data\processed\clips\Kicking Session\event_015_kick_candidate_left_ankle_t47p20.mp4,kick_candidate,left_ankle,0.5913,footwork,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,16,data\processed\clips\Kicking Session\event_016_kick_candidate_left_ankle_t48p60.mp4,kick_candidate,left_ankle,0.8249,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,17,data\processed\clips\Kicking Session\event_017_kick_candidate_left_ankle_t49p20.mp4,kick_candidate,left_ankle,0.6644,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,19,data\processed\clips\Kicking Session\event_019_kick_candidate_left_ankle_t52p80.mp4,kick_candidate,left_ankle,0.6125,false_positive,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,20,data\processed\clips\Kicking Session\event_020_punch_candidate_left_wrist_t1p20.mp4,punch_candidate,left_wrist,0.8691,false_positive,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,21,data\processed\clips\Kicking Session\event_021_punch_candidate_left_wrist_t15p20.mp4,punch_candidate,left_wrist,0.7207,kick,roundhouse_kick,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,22,data\processed\clips\Kicking Session\event_022_punch_candidate_left_wrist_t18p60.mp4,punch_candidate,left_wrist,0.7697,kick,axe_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,23,data\processed\clips\Kicking Session\event_023_punch_candidate_left_wrist_t20p00.mp4,punch_candidate,left_wrist,0.6967,false_positive,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,24,data\processed\clips\Kicking Session\event_024_punch_candidate_left_wrist_t32p00.mp4,punch_candidate,left_wrist,0.8719,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,29,data\processed\clips\Kicking Session\event_029_punch_candidate_left_wrist_t47p20.mp4,punch_candidate,left_wrist,0.6617,footwork,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,30,data\processed\clips\Kicking Session\event_030_punch_candidate_left_wrist_t52p80.mp4,punch_candidate,left_wrist,0.6519,false_positive,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,31,data\processed\clips\Kicking Session\event_031_kick_candidate_right_ankle_t0p60.mp4,kick_candidate,right_ankle,0.6041,false_positive,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,33,data\processed\clips\Kicking Session\event_033_kick_candidate_right_ankle_t10p20.mp4,kick_candidate,right_ankle,0.959,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,34,data\processed\clips\Kicking Session\event_034_kick_candidate_right_ankle_t12p60.mp4,kick_candidate,right_ankle,0.8364,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,35,data\processed\clips\Kicking Session\event_035_kick_candidate_right_ankle_t18p80.mp4,kick_candidate,right_ankle,0.9598,kick,axe_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,37,data\processed\clips\Kicking Session\event_037_kick_candidate_right_ankle_t26p80.mp4,kick_candidate,right_ankle,0.9343,kick,hopstep_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,38,data\processed\clips\Kicking Session\event_038_kick_candidate_right_ankle_t32p20.mp4,kick_candidate,right_ankle,0.8519,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,41,data\processed\clips\Kicking Session\event_041_kick_candidate_right_ankle_t47p80.mp4,kick_candidate,right_ankle,0.8402,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,42,data\processed\clips\Kicking Session\event_042_kick_candidate_right_ankle_t48p80.mp4,kick_candidate,right_ankle,0.8358,kick,roundhouse_kick,True,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,43,data\processed\clips\Kicking Session\event_043_kick_candidate_right_ankle_t51p40.mp4,kick_candidate,right_ankle,0.7721,false_positive,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,44,data\processed\clips\Kicking Session\event_044_kick_candidate_right_ankle_t52p80.mp4,kick_candidate,right_ankle,0.6613,false_positive,unknown,False,,2026-04-28T21:02:43,,,
Kicking Session.mp4,single_athlete_training,49,data\processed\clips\Kicking Session\event_049_punch_candidate_right_wrist_t20p00.mp4,punch_candidate,right_wrist,0.728,false_positive,unknown,False,,2026-04-28T21:02:43,,,
Practice (RoundHouse).mp4,single_athlete_training,1,data\processed\clips\Practice (RoundHouse)\event_001_kick_candidate_left_ankle_t13p98.mp4,kick_candidate,left_ankle,0.6842,kick,roundhouse_kick,True,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,3,data\processed\clips\Practice (RoundHouse)\event_003_kick_candidate_left_ankle_t24p15.mp4,kick_candidate,left_ankle,0.8733,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,5,data\processed\clips\Practice (RoundHouse)\event_005_kick_candidate_left_ankle_t30p30.mp4,kick_candidate,left_ankle,0.8187,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,6,data\processed\clips\Practice (RoundHouse)\event_006_kick_candidate_left_ankle_t35p67.mp4,kick_candidate,left_ankle,0.7319,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,9,data\processed\clips\Practice (RoundHouse)\event_009_kick_candidate_left_ankle_t44p89.mp4,kick_candidate,left_ankle,0.6808,kick,hopstep_kick,True,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,12,data\processed\clips\Practice (RoundHouse)\event_012_kick_candidate_left_ankle_t61p40.mp4,kick_candidate,left_ankle,0.5555,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,16,data\processed\clips\Practice (RoundHouse)\event_016_kick_candidate_left_ankle_t78p49.mp4,kick_candidate,left_ankle,0.6662,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,18,data\processed\clips\Practice (RoundHouse)\event_018_kick_candidate_left_ankle_t96p54.mp4,kick_candidate,left_ankle,0.6802,kick,back_kick,True,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,20,data\processed\clips\Practice (RoundHouse)\event_020_punch_candidate_left_wrist_t0p15.mp4,punch_candidate,left_wrist,0.8773,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,22,data\processed\clips\Practice (RoundHouse)\event_022_punch_candidate_left_wrist_t2p65.mp4,punch_candidate,left_wrist,0.6729,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,23,data\processed\clips\Practice (RoundHouse)\event_023_punch_candidate_left_wrist_t4p57.mp4,punch_candidate,left_wrist,0.6311,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,30,data\processed\clips\Practice (RoundHouse)\event_030_punch_candidate_left_wrist_t31p83.mp4,punch_candidate,left_wrist,0.8071,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,33,data\processed\clips\Practice (RoundHouse)\event_033_punch_candidate_left_wrist_t55p83.mp4,punch_candidate,left_wrist,0.8255,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,34,data\processed\clips\Practice (RoundHouse)\event_034_punch_candidate_left_wrist_t65p24.mp4,punch_candidate,left_wrist,0.5235,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,36,data\processed\clips\Practice (RoundHouse)\event_036_punch_candidate_left_wrist_t78p30.mp4,punch_candidate,left_wrist,0.7562,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,37,data\processed\clips\Practice (RoundHouse)\event_037_punch_candidate_left_wrist_t86p74.mp4,punch_candidate,left_wrist,0.7212,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,42,data\processed\clips\Practice (RoundHouse)\event_042_punch_candidate_left_wrist_t109p98.mp4,punch_candidate,left_wrist,0.7126,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,45,data\processed\clips\Practice (RoundHouse)\event_045_kick_candidate_right_ankle_t13p98.mp4,kick_candidate,right_ankle,0.5251,kick,roundhouse_kick,True,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,48,data\processed\clips\Practice (RoundHouse)\event_048_kick_candidate_right_ankle_t24p15.mp4,kick_candidate,right_ankle,0.9006,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,51,data\processed\clips\Practice (RoundHouse)\event_051_kick_candidate_right_ankle_t35p67.mp4,kick_candidate,right_ankle,0.7387,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,56,data\processed\clips\Practice (RoundHouse)\event_056_kick_candidate_right_ankle_t61p40.mp4,kick_candidate,right_ankle,0.5421,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,58,data\processed\clips\Practice (RoundHouse)\event_058_kick_candidate_right_ankle_t72p54.mp4,kick_candidate,right_ankle,0.6214,kick,roundhouse_kick,True,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,62,data\processed\clips\Practice (RoundHouse)\event_062_punch_candidate_right_wrist_t2p46.mp4,punch_candidate,right_wrist,0.8428,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,63,data\processed\clips\Practice (RoundHouse)\event_063_punch_candidate_right_wrist_t4p38.mp4,punch_candidate,right_wrist,0.6896,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,69,data\processed\clips\Practice (RoundHouse)\event_069_punch_candidate_right_wrist_t28p57.mp4,punch_candidate,right_wrist,0.9191,footwork,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,71,data\processed\clips\Practice (RoundHouse)\event_071_punch_candidate_right_wrist_t51p03.mp4,punch_candidate,right_wrist,0.8425,kick,roundhouse_kick,True,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,76,data\processed\clips\Practice (RoundHouse)\event_076_punch_candidate_right_wrist_t86p55.mp4,punch_candidate,right_wrist,0.7527,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,78,data\processed\clips\Practice (RoundHouse)\event_078_punch_candidate_right_wrist_t88p66.mp4,punch_candidate,right_wrist,0.7218,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,79,data\processed\clips\Practice (RoundHouse)\event_079_punch_candidate_right_wrist_t90p20.mp4,punch_candidate,right_wrist,0.6649,kick,back_kick,True,,2026-04-29T12:20:31,,,
Practice (RoundHouse).mp4,single_athlete_training,81,data\processed\clips\Practice (RoundHouse)\event_081_punch_candidate_right_wrist_t102p30.mp4,punch_candidate,right_wrist,0.9604,false_positive,unknown,False,,2026-04-29T12:20:31,,,
Practice (Tornado).mp4,single_athlete_training,2,data\processed\clips\Practice (Tornado)\event_002_kick_candidate_left_ankle_t9p00.mp4,kick_candidate,left_ankle,0.6689,kick,tornado_kick,True,,2026-04-29T12:34:39,,,
Practice (Tornado).mp4,single_athlete_training,3,data\processed\clips\Practice (Tornado)\event_003_kick_candidate_left_ankle_t30p00.mp4,kick_candidate,left_ankle,0.7893,kick,hopaxe_kick,True,,2026-04-29T12:34:39,,,
Practice (Tornado).mp4,single_athlete_training,5,data\processed\clips\Practice (Tornado)\event_005_kick_candidate_left_ankle_t40p20.mp4,kick_candidate,left_ankle,0.7401,kick,hopstep_kick,True,,2026-04-29T12:34:39,,,
Practice (Tornado).mp4,single_athlete_training,14,data\processed\clips\Practice (Tornado)\event_014_punch_candidate_left_wrist_t29p60.mp4,punch_candidate,left_wrist,0.7135,kick,hopaxe_kick,True,,2026-04-29T12:34:39,,,
Practice (Tornado).mp4,single_athlete_training,20,data\processed\clips\Practice (Tornado)\event_020_punch_candidate_left_wrist_t47p40.mp4,punch_candidate,left_wrist,0.6372,kick,axe_kick,True,,2026-04-29T12:34:39,,,
Practice (Tornado).mp4,single_athlete_training,22,data\processed\clips\Practice (Tornado)\event_022_punch_candidate_left_wrist_t51p80.mp4,punch_candidate,left_wrist,0.6761,footwork,unknown,False,,2026-04-29T12:34:39,,,
Practice (Tornado).mp4,single_athlete_training,23,data\processed\clips\Practice (Tornado)\event_023_punch_candidate_left_wrist_t57p40.mp4,punch_candidate,left_wrist,0.6902,kick,tornado_kick,True,,2026-04-29T12:34:39,,,
Practice (Tornado).mp4,single_athlete_training,27,data\processed\clips\Practice (Tornado)\event_027_kick_candidate_right_ankle_t47p40.mp4,kick_candidate,right_ankle,0.6708,kick,axe_kick,True,,2026-04-29T12:34:39,,,
Practice (Tornado).mp4,single_athlete_training,31,data\processed\clips\Practice (Tornado)\event_031_punch_candidate_right_wrist_t39p00.mp4,punch_candidate,right_wrist,0.6625,kick,hopstep_kick,True,,2026-04-29T12:34:39,,,
Practice (Tornado).mp4,single_athlete_training,32,data\processed\clips\Practice (Tornado)\event_032_punch_candidate_right_wrist_t47p40.mp4,punch_candidate,right_wrist,0.676,kick,axe_kick,True,,2026-04-29T12:34:39,,,
Practice (Tornado).mp4,single_athlete_training,33,data\processed\clips\Practice (Tornado)\event_033_punch_candidate_right_wrist_t50p40.mp4,punch_candidate,right_wrist,0.6525,footwork,unknown,False,,2026-04-29T12:34:39,,,
Andus - Axe Kick_compressed.mp4,single_athlete_training,1,data\processed\clips\Andus - Axe Kick_compressed\event_001_kick_candidate_left_ankle_t0p20.mp4,kick_candidate,left_ankle,0.5313,false_positive,unknown,False,,2026-04-29T15:00:13,axe_kick,0.306667,"[{""strike_type"": ""axe_kick"", ""probability"": 0.306667}, {""strike_type"": ""roundhouse_kick"", ""probability"": 0.206667}, {""strike_type"": ""back_kick"", ""probability"": 0.153333}]"
Andus - Axe Kick_compressed.mp4,single_athlete_training,3,data\processed\clips\Andus - Axe Kick_compressed\event_003_kick_candidate_left_ankle_t4p61.mp4,kick_candidate,left_ankle,0.8268,kick,axe_kick,True,,2026-04-29T15:00:13,roundhouse_kick,0.493333,"[{""strike_type"": ""roundhouse_kick"", ""probability"": 0.493333}, {""strike_type"": ""spinninghook_kick"", ""probability"": 0.16}, {""strike_type"": ""hopaxe_kick"", ""probability"": 0.146667}]"
