video_filename,event_id,clip_path,predicted_category,predicted_primary_limb,predicted_confidence_score,corrected_category,corrected_strike_type,is_valid_strike,notes,created_at
Kicking Session with Spin and Backkick.mp4,15,data\processed\clips\Kicking Session with Spin and Backkick\event_015_kick_candidate_left_ankle_t64p19.mp4,kick_candidate,left_ankle,0.6793,false_positive,unknown,FALSE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,17,data\processed\clips\Kicking Session with Spin and Backkick\event_017_kick_candidate_left_ankle_t71p79.mp4,kick_candidate,left_ankle,0.6782,kick,spinninghook_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,18,data\processed\clips\Kicking Session with Spin and Backkick\event_018_kick_candidate_left_ankle_t72p39.mp4,kick_candidate,left_ankle,0.9157,kick,spinninghook_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,19,data\processed\clips\Kicking Session with Spin and Backkick\event_019_kick_candidate_left_ankle_t76p58.mp4,kick_candidate,left_ankle,0.6132,false_positive,unknown,FALSE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,20,data\processed\clips\Kicking Session with Spin and Backkick\event_020_kick_candidate_left_ankle_t77p78.mp4,kick_candidate,left_ankle,0.6306,false_positive,unknown,FALSE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,21,data\processed\clips\Kicking Session with Spin and Backkick\event_021_punch_candidate_left_wrist_t13p20.mp4,punch_candidate,left_wrist,0.7867,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,23,data\processed\clips\Kicking Session with Spin and Backkick\event_023_punch_candidate_left_wrist_t31p99.mp4,punch_candidate,left_wrist,0.9756,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,25,data\processed\clips\Kicking Session with Spin and Backkick\event_025_punch_candidate_left_wrist_t44p19.mp4,punch_candidate,left_wrist,0.6709,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,26,data\processed\clips\Kicking Session with Spin and Backkick\event_026_punch_candidate_left_wrist_t52p39.mp4,punch_candidate,left_wrist,0.6658,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,27,data\processed\clips\Kicking Session with Spin and Backkick\event_027_punch_candidate_left_wrist_t56p39.mp4,punch_candidate,left_wrist,0.8307,false_positive,unknown,FALSE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,30,data\processed\clips\Kicking Session with Spin and Backkick\event_030_punch_candidate_left_wrist_t62p79.mp4,punch_candidate,left_wrist,0.8034,kick,spinninghook_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,32,data\processed\clips\Kicking Session with Spin and Backkick\event_032_punch_candidate_left_wrist_t75p98.mp4,punch_candidate,left_wrist,0.6517,false_positive,unknown,FALSE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,35,data\processed\clips\Kicking Session with Spin and Backkick\event_035_kick_candidate_right_ankle_t13p40.mp4,kick_candidate,right_ankle,0.9822,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,36,data\processed\clips\Kicking Session with Spin and Backkick\event_036_kick_candidate_right_ankle_t22p00.mp4,kick_candidate,right_ankle,0.9179,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,37,data\processed\clips\Kicking Session with Spin and Backkick\event_037_kick_candidate_right_ankle_t37p19.mp4,kick_candidate,right_ankle,0.9249,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,38,data\processed\clips\Kicking Session with Spin and Backkick\event_038_kick_candidate_right_ankle_t41p59.mp4,kick_candidate,right_ankle,0.9723,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,39,data\processed\clips\Kicking Session with Spin and Backkick\event_039_kick_candidate_right_ankle_t44p19.mp4,kick_candidate,right_ankle,0.9708,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,40,data\processed\clips\Kicking Session with Spin and Backkick\event_040_kick_candidate_right_ankle_t48p79.mp4,kick_candidate,right_ankle,0.9724,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,41,data\processed\clips\Kicking Session with Spin and Backkick\event_041_kick_candidate_right_ankle_t52p19.mp4,kick_candidate,right_ankle,0.8444,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,42,data\processed\clips\Kicking Session with Spin and Backkick\event_042_kick_candidate_right_ankle_t54p99.mp4,kick_candidate,right_ankle,0.9612,kick,back_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,43,data\processed\clips\Kicking Session with Spin and Backkick\event_043_kick_candidate_right_ankle_t55p99.mp4,kick_candidate,right_ankle,0.68,false_positive,unknown,FALSE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,45,data\processed\clips\Kicking Session with Spin and Backkick\event_045_kick_candidate_right_ankle_t58p99.mp4,kick_candidate,right_ankle,0.9223,kick,back_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,47,data\processed\clips\Kicking Session with Spin and Backkick\event_047_kick_candidate_right_ankle_t63p99.mp4,kick_candidate,right_ankle,0.6903,kick,spinninghook_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,49,data\processed\clips\Kicking Session with Spin and Backkick\event_049_kick_candidate_right_ankle_t76p58.mp4,kick_candidate,right_ankle,0.5664,false_positive,unknown,FALSE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,50,data\processed\clips\Kicking Session with Spin and Backkick\event_050_kick_candidate_right_ankle_t77p78.mp4,kick_candidate,right_ankle,0.6409,false_positive,unknown,FALSE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,55,data\processed\clips\Kicking Session with Spin and Backkick\event_055_punch_candidate_right_wrist_t31p99.mp4,punch_candidate,right_wrist,0.8478,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,56,data\processed\clips\Kicking Session with Spin and Backkick\event_056_punch_candidate_right_wrist_t36p99.mp4,punch_candidate,right_wrist,0.854,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,58,data\processed\clips\Kicking Session with Spin and Backkick\event_058_punch_candidate_right_wrist_t44p19.mp4,punch_candidate,right_wrist,0.8468,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session with Spin and Backkick.mp4,61,data\processed\clips\Kicking Session with Spin and Backkick\event_061_punch_candidate_right_wrist_t58p79.mp4,punch_candidate,right_wrist,0.706,kick,roundhouse_kick,TRUE,,2026-04-28T12:07:40
Kicking Session.mp4,2,data\processed\clips\Kicking Session\event_002_kick_candidate_left_ankle_t6p80.mp4,kick_candidate,left_ankle,0.8295,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,3,data\processed\clips\Kicking Session\event_003_kick_candidate_left_ankle_t15p80.mp4,kick_candidate,left_ankle,0.9682,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,4,data\processed\clips\Kicking Session\event_004_kick_candidate_left_ankle_t19p20.mp4,kick_candidate,left_ankle,0.9607,kick,axe_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,7,data\processed\clips\Kicking Session\event_007_kick_candidate_left_ankle_t21p40.mp4,kick_candidate,left_ankle,0.8199,footwork,unknown,FALSE,"switch, slide back",2026-04-28T12:26:15
Kicking Session.mp4,8,data\processed\clips\Kicking Session\event_008_kick_candidate_left_ankle_t27p20.mp4,kick_candidate,left_ankle,0.9322,kick,hopstep_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,9,data\processed\clips\Kicking Session\event_009_kick_candidate_left_ankle_t32p20.mp4,kick_candidate,left_ankle,0.9329,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,12,data\processed\clips\Kicking Session\event_012_kick_candidate_left_ankle_t41p20.mp4,kick_candidate,left_ankle,0.7615,footwork,unknown,FALSE,,2026-04-28T12:26:15
Kicking Session.mp4,15,data\processed\clips\Kicking Session\event_015_kick_candidate_left_ankle_t47p20.mp4,kick_candidate,left_ankle,0.5913,footwork,unknown,FALSE,,2026-04-28T12:26:15
Kicking Session.mp4,16,data\processed\clips\Kicking Session\event_016_kick_candidate_left_ankle_t48p60.mp4,kick_candidate,left_ankle,0.8249,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,17,data\processed\clips\Kicking Session\event_017_kick_candidate_left_ankle_t49p20.mp4,kick_candidate,left_ankle,0.6644,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,19,data\processed\clips\Kicking Session\event_019_kick_candidate_left_ankle_t52p80.mp4,kick_candidate,left_ankle,0.6125,false_positive,unknown,FALSE,,2026-04-28T12:26:15
Kicking Session.mp4,20,data\processed\clips\Kicking Session\event_020_punch_candidate_left_wrist_t1p20.mp4,punch_candidate,left_wrist,0.8691,false_positive,unknown,FALSE,,2026-04-28T12:26:15
Kicking Session.mp4,21,data\processed\clips\Kicking Session\event_021_punch_candidate_left_wrist_t15p20.mp4,punch_candidate,left_wrist,0.7207,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,22,data\processed\clips\Kicking Session\event_022_punch_candidate_left_wrist_t18p60.mp4,punch_candidate,left_wrist,0.7697,kick,axe_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,23,data\processed\clips\Kicking Session\event_023_punch_candidate_left_wrist_t20p00.mp4,punch_candidate,left_wrist,0.6967,false_positive,unknown,FALSE,,2026-04-28T12:26:15
Kicking Session.mp4,24,data\processed\clips\Kicking Session\event_024_punch_candidate_left_wrist_t32p00.mp4,punch_candidate,left_wrist,0.8719,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,29,data\processed\clips\Kicking Session\event_029_punch_candidate_left_wrist_t47p20.mp4,punch_candidate,left_wrist,0.6617,footwork,unknown,FALSE,,2026-04-28T12:26:15
Kicking Session.mp4,30,data\processed\clips\Kicking Session\event_030_punch_candidate_left_wrist_t52p80.mp4,punch_candidate,left_wrist,0.6519,false_positive,unknown,FALSE,,2026-04-28T12:26:15
Kicking Session.mp4,31,data\processed\clips\Kicking Session\event_031_kick_candidate_right_ankle_t0p60.mp4,kick_candidate,right_ankle,0.6041,false_positive,unknown,FALSE,,2026-04-28T12:26:15
Kicking Session.mp4,33,data\processed\clips\Kicking Session\event_033_kick_candidate_right_ankle_t10p20.mp4,kick_candidate,right_ankle,0.959,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,34,data\processed\clips\Kicking Session\event_034_kick_candidate_right_ankle_t12p60.mp4,kick_candidate,right_ankle,0.8364,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,35,data\processed\clips\Kicking Session\event_035_kick_candidate_right_ankle_t18p80.mp4,kick_candidate,right_ankle,0.9598,kick,axe_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,37,data\processed\clips\Kicking Session\event_037_kick_candidate_right_ankle_t26p80.mp4,kick_candidate,right_ankle,0.9343,kick,hopstep_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,38,data\processed\clips\Kicking Session\event_038_kick_candidate_right_ankle_t32p20.mp4,kick_candidate,right_ankle,0.8519,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,41,data\processed\clips\Kicking Session\event_041_kick_candidate_right_ankle_t47p80.mp4,kick_candidate,right_ankle,0.8402,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,42,data\processed\clips\Kicking Session\event_042_kick_candidate_right_ankle_t48p80.mp4,kick_candidate,right_ankle,0.8358,kick,roundhouse_kick,TRUE,,2026-04-28T12:26:15
Kicking Session.mp4,43,data\processed\clips\Kicking Session\event_043_kick_candidate_right_ankle_t51p40.mp4,kick_candidate,right_ankle,0.7721,false_positive,unknown,FALSE,,2026-04-28T12:26:15
Kicking Session.mp4,44,data\processed\clips\Kicking Session\event_044_kick_candidate_right_ankle_t52p80.mp4,kick_candidate,right_ankle,0.6613,false_positive,unknown,FALSE,,2026-04-28T12:26:15
Kicking Session.mp4,49,data\processed\clips\Kicking Session\event_049_punch_candidate_right_wrist_t20p00.mp4,punch_candidate,right_wrist,0.728,false_positive,unknown,FALSE,,2026-04-28T12:26:15
